Recipe_Name,Creator_Source,Flour_g,Bread_Flour_Y_N,Cake_Flour_Y_N,Baking_Soda_Y_N,Baking_Powder_Y_N,Cornstarch_Y_N,Salt_tsp,Butter_g,Brown_Butter_Y_N,Brown_Sugar_g,White_Sugar_g,Total_Sugar_g,Brown_Sugar_Pct,White_Sugar_Pct,Whole_Eggs,Extra_Yolk_Y_N,Vanilla_tsp,Chocolate_g,Min_Chill_Time_hrs,Bake_Temp_F,Avg_Bake_Time_min,Yield_Cookies,Recipe_Rating_5,Meets_Crispy_Edge_Y_N,Meets_Chewy_Middle_Y_N,Meets_Caramel_Flavor_Y_N,Criteria_Score_0_3,Meets_All_Criteria_Y_N
Preppy Kitchen Classic CCC,Preppy Kitchen,270,N,N,Y,N,N,0.75,227,N,165,150,315,52.4,47.6,1,N,3.0,270,0.5,375,11,32,4.7,Y,N,N,1,N
Preppy Kitchen Brown Butter CCC,Preppy Kitchen,320,N,N,Y,Y,N,0.75,282,Y,165,100,265,62.3,37.7,1,Y,2.0,360,0.33,350,12,18,4.75,N,Y,Y,2,N
Broma Bakery Best CCC,Broma Bakery,220,N,N,Y,N,N,0.75,168,Y,200,50,250,80.0,20.0,1,Y,3.0,225,1.0,350,11,14,4.9,N,Y,Y,2,N
Broma Bakery Mom's CCC,Broma Bakery,250,N,N,Y,N,Y,0.5,170,N,220,0,220,100.0,0.0,1,N,2.0,200,0.0,350,11,18,4.8,N,Y,Y,2,N
Jacques Torres / NYT CCC,Jacques Torres,458,Y,Y,Y,Y,N,1.5,278,N,280,224,504,55.6,44.4,2,N,2.0,570,24.0,350,17,20,4.9,N,Y,N,1,N
Toll House Original CCC,Nestle / Toll House,280,N,N,Y,N,N,1.0,227,N,165,150,315,52.4,47.6,2,N,1.0,340,0.0,375,11,60,4.5,Y,N,N,1,N
Alton Brown The Chewy,Alton Brown / Food Net.,256,Y,N,Y,N,N,1.0,168,N,275,50,325,84.6,15.4,1,Y,1.5,340,0.0,375,14,24,4.8,Y,Y,Y,3,Y
Alton Brown The Thin,Alton Brown / Food Net.,270,N,N,Y,N,N,1.0,227,N,110,200,310,35.5,64.5,2,N,1.5,340,0.0,375,13,30,4.4,Y,N,N,1,N
Alton Brown The Puffy,Alton Brown / Food Net.,280,N,N,N,Y,N,1.0,170,N,165,150,315,52.4,47.6,2,N,1.5,255,0.0,350,13,24,4.3,Y,N,N,1,N
Sally's Baking Addiction Chewy CCC,Sally's Baking Addiction,280,N,N,Y,N,Y,1.0,170,N,220,100,320,68.8,31.2,1,Y,2.0,215,2.0,325,11,24,4.9,N,Y,N,1,N
